title,keyword,source
Towards understanding and improving multilingual collaborative ontology development in Wikidata,expert,The Web Conference
"Computational fact-checking: Problems, state of the art, and perspectives",expert,The Web Conference
Fake news detection in social networks via crowd signals,expert,The Web Conference
AutoSTG: Neural Architecture Search for Predictions of Spatio-Temporal Graph✱,expert,The Web Conference
Reducing disparate exposure in ranking: A learning to rank approach,expert,The Web Conference
Opencrowd: A human-ai collaborative approach for finding social influencers via open-ended answers aggregation,expert,The Web Conference
Identifying Expert Intent Queries,expert,The Web Conference
Inferring passengers' interactive choices on public transits via ma-al: Multi-agent apprenticeship learning,expert,The Web Conference
Evaluating the rationales of amateur investors,expert,The Web Conference
Automap: Diagnose your microservice-based web applications automatically,expert,The Web Conference
“Short is the Road that Leads from Fear to Hate”: Fear Speech in Indian WhatsApp Groups,expert,The Web Conference
"Web-scale, schema-agnostic, end-to-end entity resolution",expert,The Web Conference
DCN V2: Improved deep & cross network and practical lessons for web-scale learning to rank systems,expert,The Web Conference
Towards facilitating empathic conversations in online mental health support: A reinforcement learning approach,expert,The Web Conference
Learning model-agnostic counterfactual explanations for tabular data,expert,The Web Conference
Interventions for Softening Can Lead to Hardening of Opinions: Evidence from a Randomized Controlled Trial,expert,The Web Conference
A generic solver combining unsupervised learning and representation learning for breaking text-based captchas,expert,The Web Conference
Mixup for node and graph classification,expert,The Web Conference
RLPer: A reinforcement learning model for personalized search,expert,The Web Conference
Adversarial Item Promotion: Vulnerabilities at the Core of Top-N Recommenders that Use Images to Address Cold Start,expert,The Web Conference
Estimation of Fair Ranking Metrics with Incomplete Judgments,expert,The Web Conference
Beyond Knowledge Graphs: New Frontiers of Machine Knowledge,expert,The Web Conference
Crowdsourcing detection of sampling biases in image datasets,expert,The Web Conference
Text-to-SQL generation for question answering on electronic medical records,expert,The Web Conference
Peer grading the peer reviews: a dual-role approach for lightening the scholarly paper review process,expert,The Web Conference
Rest: Robust and efficient neural networks for sleep monitoring in the wild,expert,The Web Conference
Complex factoid question answering with a free-text knowledge graph,expert,The Web Conference
Equilibrium Inverse Reinforcement Learning for Ride-hailing Vehicle Network,expert,The Web Conference
Biomedical Vocabulary Alignment at Scale in the UMLS Metathesaurus,expert,The Web Conference
Hierarchically structured transformer networks for fine-grained spatial event forecasting,expert,The Web Conference
Beyond IID: three levels of generalization for question answering on knowledge bases,expert,The Web Conference
A structured response to misinformation: Defining and annotating credibility indicators in news articles,expert,The Web Conference
Robust Generalization and Safe Query-Specializationin Counterfactual Learning to Rank,expert,The Web Conference
Task-oriented genetic activation for large-scale complex heterogeneous graph embedding,expert,The Web Conference
Making the Most Cost-effective Decision in Online Paid Q&A Community: An Expert Recommender System with Motivation Modeling and Knowledge Pricing,expert,The Web Conference
Html: Hierarchical transformer-based multi-task learning for volatility prediction,expert,The Web Conference
An Adversarial Imitation Click Model for Information Retrieval,expert,The Web Conference
A Workflow Analysis of Context-driven Conversational Recommendation,expert,The Web Conference
Expanding taxonomies with implicit edge semantics,expert,The Web Conference
Learning to classify: A flow-based relation network for encrypted traffic classification,expert,The Web Conference
Adversarial Cooperative Imitation Learning for Dynamic Treatment Regimes✱,expert,The Web Conference
Selective weak supervision for neural information retrieval,expert,The Web Conference
Interpretable complex question answering,expert,The Web Conference
Clara: Clinical report auto-completion,expert,The Web Conference
MicroRank: End-to-End Latency Issue Localization with Extended Spectrum Analysis in Microservice Environments,expert,The Web Conference
Understanding electricity-theft behavior via multi-source data,expert,The Web Conference
Session-aware linear item-item models for session-based recommendation,expert,The Web Conference
REST: Relational Event-driven Stock Trend Forecasting,expert,The Web Conference
Enquire one's parent and child before decision: Fully exploit hierarchical structure for self-supervised taxonomy expansion,expert,The Web Conference
Understanding the performance costs and benefits of privacy-focused browser extensions,expert,The Web Conference
Expert problem solving strategies for program comprehension,expert,Human Factors in Computing Systems
Typing on flat glass: examining ten-finger expert typing patterns on touch surfaces,expert,Human Factors in Computing Systems
CommunitySourcing: engaging local crowds to perform expert work via physical kiosks,expert,Human Factors in Computing Systems
Crowdsourcing user studies with Mechanical Turk,expert,Human Factors in Computing Systems
Extensions of GOMS analyses to expert performance requiring perception of dynamic visual and auditory information,expert,Human Factors in Computing Systems
Predicting text entry speed on mobile phones,expert,Human Factors in Computing Systems
A comparison of synchronous remote and local usability studies for an expert interface,expert,Human Factors in Computing Systems
Expert recommender systems in practice: evaluating semi-automatic profile generation,expert,Human Factors in Computing Systems
Expert voices in echo chambers: effects of source expertise indicators on exposure to diverse opinions,expert,Human Factors in Computing Systems
Explaining decision-making algorithms through UI: Strategies to help non- expert stakeholders,expert,Human Factors in Computing Systems
User learning and performance with marking menus,expert,Human Factors in Computing Systems
A predictive model of menu performance,expert,Human Factors in Computing Systems
Studying cooperation and conflict between authors with history flow visualizations,expert,Human Factors in Computing Systems
Self-tracking for mental wellness: understanding expert perspectives and student experiences,expert,Human Factors in Computing Systems
Dynamic queries for information exploration: An implementation and evaluation,expert,Human Factors in Computing Systems
What do novice programmers know about recursion,expert,Human Factors in Computing Systems
Model for non- expert text entry speed on 12-button phone keypads,expert,Human Factors in Computing Systems
Agents to assist in finding help,expert,Human Factors in Computing Systems
Why and why not explanations improve the intelligibility of context-aware intelligent systems,expert,Human Factors in Computing Systems
Design lessons from the fastest q&a site in the west,expert,Human Factors in Computing Systems
The limits of expert performance using hierarchic marking menus,expert,Human Factors in Computing Systems
Cascade: Crowdsourcing taxonomy creation,expert,Human Factors in Computing Systems
Gardeners and gurus: patterns of cooperation among CAD users,expert,Human Factors in Computing Systems
Guidelines are only half of the story: accessibility problems encountered by blind users on the web,expert,Human Factors in Computing Systems
Comparative effectiveness of augmented reality in object assembly,expert,Human Factors in Computing Systems
Atelier: Repurposing expert crowdsourcing tasks as micro-internships,expert,Human Factors in Computing Systems
A survey of user-centered design practice,expert,Human Factors in Computing Systems
Is your web page accessible? A comparative study of methods for assessing web page accessibility for the blind,expert,Human Factors in Computing Systems
The alphaslider: a compact and rapid selector,expert,Human Factors in Computing Systems
Security during application development: An application security expert perspective,expert,Human Factors in Computing Systems
Developing a context-aware electronic tourist guide: some issues and experiences,expert,Human Factors in Computing Systems
Empirically validated web page design metrics,expert,Human Factors in Computing Systems
TeleAdvisor: a versatile augmented reality tool for remote assistance,expert,Human Factors in Computing Systems
A smartphone-based sensing platform to model aggressive driving behaviors,expert,Human Factors in Computing Systems
"Make new friends, but keep the old: recommending people on social networking sites",expert,Human Factors in Computing Systems
The elements of computer credibility,expert,Human Factors in Computing Systems
Characterizing debate performance via aggregated twitter sentiment,expert,Human Factors in Computing Systems
The role of transparency in recommender systems,expert,Human Factors in Computing Systems
Strategies for accelerating on-line learning of hotkeys,expert,Human Factors in Computing Systems
Debugging by skilled and novice programmers,expert,Human Factors in Computing Systems
Emotion rating from short blog texts,expert,Human Factors in Computing Systems
Dips and ceilings: understanding and supporting transitions to expertise in user interfaces,expert,Human Factors in Computing Systems
FotoFile: a consumer multimedia organization and retrieval system,expert,Human Factors in Computing Systems
Promoting hotkey use through rehearsal with exposehk,expert,Human Factors in Computing Systems
Using latent semantic analysis to improve access to textual information,expert,Human Factors in Computing Systems
Remote evaluation: the network as an extension of the usability laboratory,expert,Human Factors in Computing Systems
Usability and privacy: a study of Kazaa P2P file-sharing,expert,Human Factors in Computing Systems
Text input for mobile devices: comparing model prediction to actual performance,expert,Human Factors in Computing Systems
Predictive human performance modeling made easy,expert,Human Factors in Computing Systems
Fake news detection in social networks via crowd signals,crowd,The Web Conference
Crowd teaching with imperfect labels,crowd,The Web Conference
Becoming the super turker: Increasing wages via a strategy from high earning workers,crowd,The Web Conference
CrowdGP: a Gaussian Process Model for Inferring Relevance from Crowd Annotations,crowd,The Web Conference
Towards hybrid human-AI workflows for unknown unknown detection,crowd,The Web Conference
Quality-aware dynamic task assignment in human+ ai crowd,crowd,The Web Conference
"Web-scale, schema-agnostic, end-to-end entity resolution",crowd,The Web Conference
"What is Normal, What is Strange, and What is Missing in an Knowledge Graph",crowd,The Web Conference
Evaluating the rationales of amateur investors,crowd,The Web Conference
"Computational fact-checking: Problems, state of the art, and perspectives",crowd,The Web Conference
Neural collaborative reasoning,crowd,The Web Conference
Opencrowd: A human-ai collaborative approach for finding social influencers via open-ended answers aggregation,crowd,The Web Conference
Human-guided flood mapping: From experts to the crowd,crowd,The Web Conference
Filter list generation for underserved regions,crowd,The Web Conference
Crowdsourcing detection of sampling biases in image datasets,crowd,The Web Conference
Beyond IID: three levels of generalization for question answering on knowledge bases,crowd,The Web Conference
Generating representative headlines for news stories,crowd,The Web Conference
Mining dual emotion for fake news detection,crowd,The Web Conference
Fine-grained urban flow prediction,crowd,The Web Conference
The structure of social influence in recommender networks,crowd,The Web Conference
Crowd -Machine Collaboration for Item Screening,crowd,The Web Conference
Facebook Ads as a demographic tool to measure the urban-rural divide,crowd,The Web Conference
Attention please: Your attention check questions in survey studies can be automatically answered,crowd,The Web Conference
Traveling the token world: A graph analysis of ethereum erc20 token ecosystem,crowd,The Web Conference
Text-to-SQL generation for question answering on electronic medical records,crowd,The Web Conference
Abstractive snippet generation,crowd,The Web Conference
Open intent extraction from natural language interactions,crowd,The Web Conference
What do you mean? Interpreting image classification with crowdsourced concept extraction and analysis,crowd,The Web Conference
A kernel of truth: Determining rumor veracity on twitter by diffusion pattern alone,crowd,The Web Conference
The representativeness of automated web crawls as a surrogate for human browsing,crowd,The Web Conference
Domain adaptive multi-modality neural attention network for financial forecasting,crowd,The Web Conference
Privacy-preserving AI services through data decentralization,crowd,The Web Conference
Peer grading the peer reviews: a dual-role approach for lightening the scholarly paper review process,crowd,The Web Conference
Information Elicitation from Rowdy Crowds,crowd,The Web Conference
AutoSTG: Neural Architecture Search for Predictions of Spatio-Temporal Graph✱,crowd,The Web Conference
Touch Screen Exploration of Visual Artwork for Blind People,crowd,The Web Conference
Tracing the factoids: the anatomy of information re-organization in Wikipedia articles,crowd,The Web Conference
"Desmond (XU Minghui); DARATAN, Randy Tandriansyah; and JAIMAN, Nikita. A feasibility study on crowdsourcing to monitor municipal resources in smart …",crowd,The Web Conference
What sparks joy: The AffectVec emotion database,crowd,The Web Conference
"What is normal, what is strange, and what is missing in a knowledge graph: Unified characterization via inductive summarization",crowd,The Web Conference
Local clustering in contextual multi-armed bandits,crowd,The Web Conference
Musiclynx: Exploring music through artist similarity graphs,crowd,The Web Conference
Multiple knowledge syncretic transformer for natural dialogue generation,crowd,The Web Conference
Snippext: Semi-supervised opinion mining with augmented data,crowd,The Web Conference
Cookie Swap Party: Abusing First-Party Cookies for Web Tracking,crowd,The Web Conference
Advanced semantics for commonsense knowledge extraction,crowd,The Web Conference
Are these comments triggering? predicting triggers of toxicity in online discussions,crowd,The Web Conference
Modeling and aggregation of complex annotations via annotation distances,crowd,The Web Conference
"Radflow: A recurrent, aggregated, and decomposable model for networks of time series",crowd,The Web Conference
Cooks or cobblers? Crowd creativity through combination,crowd,Human Factors in Computing Systems
Field trial of tiramisu: crowd -sourcing bus arrival times to spur co-design,crowd,Human Factors in Computing Systems
Twitch crowdsourcing: crowd contributions in short bursts of time,crowd,Human Factors in Computing Systems
# EpicPlay: Crowd -sourcing sports video highlights,crowd,Human Factors in Computing Systems
Don't hide in the crowd ! Increasing social transparency between peer workers improves crowdsourcing outcomes,crowd,Human Factors in Computing Systems
We are dynamo: Overcoming stalling and friction in collective action for crowd workers,crowd,Human Factors in Computing Systems
Shepherding the crowd : managing and providing feedback to crowd workers,crowd,Human Factors in Computing Systems
Engaging the crowd : studies of audience-performer interaction,crowd,Human Factors in Computing Systems
Human computation tasks with global constraints,crowd,Human Factors in Computing Systems
"Emergent, crowd -scale programming practice in the IDE",crowd,Human Factors in Computing Systems
CrowdMonitor: Mobile crowd sensing for assessing physical and digital activities of citizens during emergencies,crowd,Human Factors in Computing Systems
Analyzing crowd workers in mobile pay-for-answer q&a,crowd,Human Factors in Computing Systems
Bootstrapping personal gesture shortcuts with the wisdom of the crowd and handwriting recognition,crowd,Human Factors in Computing Systems
Examining crowd work and gig work through the historical lens of piecework,crowd,Human Factors in Computing Systems
""" Why would anybody do this?"" Understanding Older Adults' Motivations and Challenges in Crowd Work",crowd,Human Factors in Computing Systems
Cascade: Crowdsourcing taxonomy creation,crowd,Human Factors in Computing Systems
WearWrite: Crowd -assisted writing from smartwatches,crowd,Human Factors in Computing Systems
Evorus: A crowd -powered conversational assistant built to automate itself over time,crowd,Human Factors in Computing Systems
Warping time for more effective real-time crowdsourcing,crowd,Human Factors in Computing Systems
Cognitively inspired task design to improve user performance on crowdsourcing platforms,crowd,Human Factors in Computing Systems
Will the crowd game the algorithm? Using layperson judgments to combat misinformation on social media by downranking distrusted sources,crowd,Human Factors in Computing Systems
Crowd -designed motivation: Motivational messages for exercise adherence based on behavior change theory,crowd,Human Factors in Computing Systems
"Crowd size, diversity and performance",crowd,Human Factors in Computing Systems
"Emerging sites of HCI innovation: hackerspaces, hardware startups & incubators",crowd,Human Factors in Computing Systems
A data-driven analysis of workers' earnings on Amazon Mechanical Turk,crowd,Human Factors in Computing Systems
Graffito: crowd -based performative interaction at festivals,crowd,Human Factors in Computing Systems
Combining crowdsourcing and google street view to identify street-level accessibility problems,crowd,Human Factors in Computing Systems
"Respeak: A voice-based, crowd -powered speech transcription system",crowd,Human Factors in Computing Systems
Who are the crowdworkers? Shifting demographics in Mechanical Turk,crowd,Human Factors in Computing Systems
Distributed analogical idea generation: inventing with crowds,crowd,Human Factors in Computing Systems
The effects of sequence and delay on crowd work,crowd,Human Factors in Computing Systems
Strategies for crowdsourcing social data analysis,crowd,Human Factors in Computing Systems
Improving crowd -supported gui testing with structural guidance,crowd,Human Factors in Computing Systems
Twitinfo: aggregating and visualizing microblogs for event exploration,crowd,Human Factors in Computing Systems
Crowdsourcing graphical perception: using mechanical turk to assess visualization design,crowd,Human Factors in Computing Systems
Unlocking the expressivity of point lights,crowd,Human Factors in Computing Systems
Crowd computer interaction,crowd,Human Factors in Computing Systems
Crowdfunding inside the enterprise: employee-initiatives for innovation and collaboration,crowd,Human Factors in Computing Systems
Heteroglossia: In-situ story ideation with the crowd,crowd,Human Factors in Computing Systems
""" Hi! I am the Crowd Tasker"" Crowdsourcing through Digital Voice Assistants",crowd,Human Factors in Computing Systems
Tangible programming in the classroom with tern,crowd,Human Factors in Computing Systems
Crowdsourcing user studies with Mechanical Turk,crowd,Human Factors in Computing Systems
Show me the money! An analysis of project updates during crowdfunding campaigns,crowd,Human Factors in Computing Systems
Turkopticon: Interrupting worker invisibility in amazon mechanical turk,crowd,Human Factors in Computing Systems
The effect of peripheral micro-tasks on crowd ideation,crowd,Human Factors in Computing Systems
A pilot study of using crowds in the classroom,crowd,Human Factors in Computing Systems
Modeling task performance for a crowd of users from interaction histories,crowd,Human Factors in Computing Systems
Characterizing debate performance via aggregated twitter sentiment,crowd,Human Factors in Computing Systems
Finding dependencies between actions using the crowd,crowd,Human Factors in Computing Systems
"Coordinating tasks on the commons: designing for personal goals, expertise and serendipity",crowd,Human Factors in Computing Systems
